unit_id,line_id,furnace_temp_c,roller_pressure_bar,line_speed_mpm,lubricant_flow_lph,vibration_rms_mms,ambient_humidity_pct,cooling_rate_cps,tension_variation_kn,defect_class
UNIT-11860,LINE-B,829.95,143.48,47.75,34.21,1.77,41.82,16.98,0.71,normal
UNIT-10681,LINE-A,885.67,177.57,49.57,30.13,1.67,40.77,28.28,1.51,crack
UNIT-10033,LINE-C,932.19,177.5,43.87,30.2,1.57,43.78,35.36,2.07,crack
UNIT-10071,LINE-A,892.14,166.37,48.76,31.66,1.49,39.31,34.35,1.53,crack
UNIT-10323,LINE-A,897.2,163.48,52.96,35.35,1.3,49.62,32.28,1.31,crack
UNIT-12788,LINE-C,843.4,146.75,30.75,13.05,2.02,67.78,17.27,0.51,rust
UNIT-13258,LINE-A,832.99,158.63,69.86,12.66,3.8,34.77,18.1,0.41,scratch
UNIT-11072,LINE-C,902.78,197.95,49.73,34.31,1.49,45.55,17.67,2.71,hole
UNIT-10052,LINE-C,866.68,191.12,51.64,31.89,1.68,39.5,37.39,1.8,crack
UNIT-11421,LINE-A,837.02,153.45,50.44,28.99,1.38,40.63,16.3,0.52,normal
UNIT-10431,LINE-B,896.35,182.88,49.16,32.28,1.76,45.7,33.51,2.49,crack
UNIT-12485,LINE-C,851.3,137.18,31.06,14.77,1.34,80.98,16.67,0.6,rust
UNIT-11718,LINE-B,830.82,151.84,51.93,31.15,1.22,43.83,18.84,0.67,normal
UNIT-13110,LINE-C,839.28,157.79,60.98,15.43,4.59,36.81,16.92,0.42,scratch
UNIT-11081,LINE-B,903.11,189.41,50.14,30.81,1.5,35.89,16.5,1.97,hole
UNIT-10555,LINE-B,930.12,177.57,44.42,35.76,1.62,37.51,27.13,0.94,crack
UNIT-10145,LINE-B,899.2,171.74,51.65,31.23,1.7,41.42,23.76,1.48,crack
UNIT-11823,LINE-B,837.7,155.06,51.07,28.72,2.15,40.17,19.88,0.48,normal
UNIT-13124,LINE-A,842.59,143.75,62.0,14.58,5.61,42.56,15.91,0.81,scratch
UNIT-10197,LINE-B,903.27,180.26,47.21,29.98,1.71,47.24,29.74,2.3,crack
UNIT-11678,LINE-B,831.32,153.87,51.28,33.55,1.43,51.95,17.18,0.32,normal
UNIT-10791,LINE-A,874.5,187.01,50.84,32.72,1.51,43.18,16.96,2.54,hole
UNIT-12776,LINE-A,829.16,154.03,26.15,16.4,1.61,66.55,20.31,0.39,rust
UNIT-12789,LINE-C,858.48,148.14,39.55,11.15,2.18,70.67,15.07,0.71,rust
UNIT-10747,LINE-B,884.75,187.57,49.28,33.35,1.85,42.97,15.58,2.35,hole
UNIT-10415,LINE-B,892.63,180.12,49.08,31.45,1.54,44.75,28.61,1.52,crack
UNIT-11433,LINE-B,855.39,149.65,49.88,30.99,1.69,42.7,16.3,0.21,normal
UNIT-10906,LINE-A,893.39,189.34,49.82,32.14,2.36,51.12,15.96,3.12,hole
UNIT-12203,LINE-A,834.14,153.9,37.59,8.61,1.65,75.47,18.8,0.6,rust
UNIT-13247,LINE-A,841.48,145.92,60.66,17.75,5.13,45.91,19.04,0.31,scratch
UNIT-12527,LINE-C,843.82,153.55,40.5,10.44,1.98,66.86,15.31,0.57,rust
UNIT-13499,LINE-A,841.01,148.94,65.24,19.92,6.01,47.09,20.74,0.85,scratch
UNIT-11809,LINE-B,835.47,148.21,51.6,31.78,2.29,44.05,15.57,0.55,normal
UNIT-13076,LINE-B,853.95,156.88,64.25,16.83,5.43,41.94,19.29,0.55,scratch
UNIT-13035,LINE-A,825.95,142.11,59.29,13.34,3.52,50.08,18.31,0.4,scratch
UNIT-13278,LINE-A,838.93,157.52,67.01,10.97,5.18,50.83,16.89,0.56,scratch
UNIT-13326,LINE-C,837.12,155.08,61.68,16.95,3.37,46.75,16.38,0.53,scratch
UNIT-12996,LINE-B,842.82,141.85,66.08,18.1,6.52,42.73,16.58,0.43,scratch
UNIT-12721,LINE-B,841.71,151.1,35.17,22.9,0.68,73.74,16.27,0.64,rust
UNIT-11053,LINE-A,893.08,194.05,45.2,28.82,1.63,41.86,15.8,1.84,hole
UNIT-12845,LINE-B,832.4,155.52,67.86,20.0,6.1,41.19,13.96,0.47,scratch
UNIT-10271,LINE-B,896.8,170.18,52.68,32.65,1.51,35.54,24.82,1.49,crack
UNIT-10140,LINE-B,905.67,173.41,50.42,34.64,1.3,48.56,30.55,2.08,crack
UNIT-12009,LINE-A,834.73,158.18,51.52,30.52,1.57,44.34,16.84,0.46,normal
UNIT-13479,LINE-B,854.02,151.5,72.01,13.46,6.33,43.11,16.83,0.18,scratch
UNIT-10677,LINE-B,898.69,171.38,54.53,32.8,1.42,46.27,33.74,1.8,crack
UNIT-12754,LINE-C,841.94,140.2,30.87,17.16,0.8,85.4,14.93,0.45,rust
UNIT-13314,LINE-B,843.81,159.22,65.93,12.81,5.59,47.68,14.55,0.53,scratch
UNIT-12623,LINE-A,844.75,156.29,31.89,12.06,1.68,75.63,15.58,0.23,rust
UNIT-10292,LINE-B,895.04,165.28,52.44,27.79,1.95,49.55,24.79,0.92,crack
UNIT-11243,LINE-A,880.08,196.87,46.41,34.66,1.51,41.23,15.28,2.36,hole
UNIT-11755,LINE-A,839.41,148.94,48.3,31.78,1.44,48.26,16.96,0.4,normal
UNIT-10600,LINE-C,889.55,168.19,48.37,30.78,1.44,49.41,25.22,1.32,crack
UNIT-10230,LINE-B,900.12,174.81,51.04,32.93,1.61,46.23,26.93,2.16,crack
UNIT-12440,LINE-A,841.18,148.26,32.65,14.03,1.7,89.62,17.0,0.29,rust
UNIT-11408,LINE-B,824.02,150.49,50.44,34.52,1.72,43.4,15.58,0.72,normal
UNIT-11152,LINE-B,877.03,190.04,51.33,33.42,1.28,51.67,17.41,1.92,hole
UNIT-10411,LINE-C,891.99,182.34,47.47,28.63,1.6,41.37,32.35,1.14,crack
UNIT-10204,LINE-C,897.45,174.37,49.94,31.65,1.67,42.52,29.15,1.23,crack
UNIT-13168,LINE-A,838.22,154.53,59.36,16.64,3.61,41.11,17.72,0.41,scratch
UNIT-13070,LINE-A,832.31,146.41,65.31,23.57,4.69,41.14,17.25,0.5,scratch
UNIT-10603,LINE-A,930.05,169.89,48.4,34.12,1.39,45.66,26.09,2.17,crack
UNIT-10135,LINE-B,933.47,165.0,48.22,32.15,2.02,44.23,26.04,1.29,crack
UNIT-10053,LINE-B,928.01,169.48,50.63,29.72,1.2,51.55,29.78,2.3,crack
UNIT-10507,LINE-A,915.78,178.65,52.07,33.94,1.52,52.21,32.25,1.55,crack
UNIT-11211,LINE-B,859.92,197.56,48.6,32.95,1.56,41.84,17.65,2.53,hole
UNIT-10926,LINE-B,875.85,200.67,51.72,29.18,2.05,43.16,18.55,2.02,hole
UNIT-12092,LINE-B,831.94,145.25,48.3,29.75,1.19,39.84,17.49,0.51,normal
UNIT-10545,LINE-A,928.04,178.97,51.35,34.45,1.74,40.88,24.54,2.06,crack
UNIT-13154,LINE-B,834.57,149.7,62.07,21.71,6.0,37.21,18.04,0.28,scratch
UNIT-10579,LINE-B,877.02,158.93,50.06,30.65,1.24,44.06,27.86,2.12,crack
UNIT-12670,LINE-A,845.9,153.87,38.94,15.59,1.37,74.46,19.23,0.57,rust
UNIT-11633,LINE-B,837.07,151.48,51.4,35.01,1.11,45.05,17.28,0.49,normal
UNIT-10839,LINE-C,869.51,199.9,51.18,31.49,1.41,44.93,19.07,3.04,hole
UNIT-12742,LINE-A,850.91,152.54,36.76,15.05,1.78,89.91,18.61,0.65,rust
UNIT-13330,LINE-A,842.33,147.63,63.2,15.02,6.86,46.85,15.57,0.47,scratch
UNIT-11189,LINE-C,887.31,191.36,55.38,31.05,2.22,47.41,17.55,2.38,hole
UNIT-10606,LINE-A,907.29,170.51,48.52,35.11,1.27,37.04,31.63,1.35,crack
UNIT-10870,LINE-C,905.39,185.93,48.66,32.19,1.12,46.45,18.3,1.85,hole
UNIT-12024,LINE-C,828.6,142.77,47.98,34.03,1.5,41.88,16.18,0.48,normal
UNIT-11707,LINE-A,832.9,153.21,45.75,31.42,2.06,42.9,17.14,0.74,normal
UNIT-10692,LINE-B,893.94,170.28,50.53,31.98,1.55,49.35,29.18,1.53,crack
UNIT-10077,LINE-B,922.09,182.35,49.09,32.35,1.06,47.86,34.01,2.02,crack
UNIT-11952,LINE-C,839.35,143.51,50.4,30.83,1.2,45.48,16.08,0.53,normal
UNIT-10212,LINE-B,888.62,163.72,48.96,31.41,1.89,47.67,23.32,2.18,crack
UNIT-10018,LINE-C,902.9,195.83,51.43,34.27,1.89,46.61,25.47,1.26,crack
UNIT-13011,LINE-C,838.29,143.53,60.39,19.8,4.87,41.32,19.55,0.53,scratch
UNIT-12094,LINE-A,837.11,153.37,50.44,32.04,2.17,36.65,15.44,0.34,normal
UNIT-12410,LINE-A,834.11,144.13,32.44,15.08,1.9,69.73,17.76,0.05,rust
UNIT-13316,LINE-A,851.59,145.8,69.49,14.81,4.71,47.03,17.53,0.36,scratch
UNIT-13169,LINE-B,838.66,149.73,71.57,10.69,5.66,40.93,19.02,0.4,scratch
UNIT-10595,LINE-A,921.83,190.56,52.94,30.46,1.99,49.59,28.37,2.09,crack
UNIT-10403,LINE-B,884.29,155.2,49.75,32.75,1.34,40.76,34.47,1.56,crack
UNIT-11235,LINE-A,878.93,178.6,48.22,32.56,1.3,44.64,16.17,2.5,hole
UNIT-13051,LINE-A,848.2,150.08,69.69,20.21,5.84,45.88,15.52,0.48,scratch
UNIT-12100,LINE-A,848.52,149.39,45.95,34.04,1.07,37.82,16.73,0.54,normal
UNIT-11584,LINE-A,827.98,149.0,46.88,32.41,1.4,45.16,18.62,0.74,normal
UNIT-12535,LINE-A,841.91,152.73,36.62,11.92,1.42,84.79,17.16,0.67,rust
UNIT-12723,LINE-B,838.88,152.19,38.42,16.85,1.87,67.96,16.68,0.39,rust
UNIT-12357,LINE-A,838.37,149.53,42.45,14.34,1.41,76.77,12.57,0.35,rust
UNIT-10970,LINE-A,877.47,180.51,51.49,31.93,2.03,42.68,16.97,2.0,hole
UNIT-11500,LINE-C,838.81,137.17,48.9,35.58,1.6,42.77,17.03,0.55,normal
UNIT-10359,LINE-A,891.3,169.35,47.48,30.83,1.2,35.51,32.25,1.84,crack
UNIT-10193,LINE-B,909.99,184.19,46.03,33.59,1.89,47.21,28.74,1.95,crack
UNIT-12393,LINE-B,836.22,146.88,36.1,15.23,1.43,79.99,16.28,0.42,rust
UNIT-12112,LINE-A,837.7,155.87,33.35,16.49,2.02,67.96,19.0,0.45,rust
UNIT-10927,LINE-B,875.95,192.52,49.95,33.28,2.23,42.17,16.59,2.5,hole
UNIT-12824,LINE-C,834.01,144.89,64.35,10.44,5.58,49.66,16.75,0.35,scratch
UNIT-11164,LINE-A,870.57,181.27,50.19,34.32,1.21,41.15,17.66,1.47,hole
UNIT-10184,LINE-C,916.74,176.4,48.4,32.98,2.14,43.24,27.71,1.83,crack
UNIT-11862,LINE-A,837.43,155.33,48.09,32.91,1.69,50.34,16.94,0.24,normal
UNIT-10031,LINE-A,883.0,189.61,46.37,33.57,1.55,38.58,36.29,1.67,crack
UNIT-11872,LINE-A,833.91,151.26,47.15,28.22,1.67,44.08,16.14,0.31,normal
UNIT-12663,LINE-B,839.65,148.67,32.94,13.04,1.74,83.12,14.46,0.49,rust
UNIT-12993,LINE-B,834.55,154.36,65.55,16.05,3.86,34.63,18.42,0.48,scratch
UNIT-10316,LINE-C,882.93,169.64,47.97,33.65,1.67,44.07,27.57,2.28,crack
UNIT-12657,LINE-A,845.56,145.42,32.94,11.61,1.18,84.54,18.14,0.29,rust
UNIT-11056,LINE-B,879.28,202.85,49.87,30.91,1.44,47.71,18.16,2.53,hole
UNIT-10843,LINE-A,899.73,192.78,48.06,34.24,1.65,40.6,16.78,2.02,hole
UNIT-11447,LINE-B,831.38,153.53,56.07,34.73,1.65,42.87,17.49,0.35,normal
UNIT-12462,LINE-B,842.37,144.78,35.51,17.99,1.45,83.89,20.15,0.36,rust
UNIT-12500,LINE-B,851.16,144.07,36.79,18.13,1.46,75.16,20.85,0.46,rust
UNIT-11507,LINE-B,840.92,158.92,50.78,30.41,1.7,53.73,17.06,0.62,normal
UNIT-11722,LINE-B,839.27,154.4,50.08,32.33,1.48,42.29,16.87,0.51,normal
UNIT-10680,LINE-A,892.02,168.81,48.8,28.25,1.25,36.08,33.24,1.74,crack
UNIT-10464,LINE-C,900.68,181.13,52.8,32.03,1.55,43.56,35.11,1.94,crack
UNIT-11048,LINE-C,889.96,177.22,51.03,31.94,1.34,50.78,17.09,2.72,hole
UNIT-11801,LINE-A,851.31,158.22,48.58,30.74,1.61,41.83,18.82,0.52,normal
UNIT-13151,LINE-C,852.38,150.73,60.58,24.47,4.25,41.97,16.61,0.45,scratch
UNIT-10950,LINE-B,890.44,212.04,47.64,33.31,1.62,36.92,17.69,2.73,hole
UNIT-12601,LINE-A,843.47,149.56,33.98,17.33,1.36,73.01,18.48,0.17,rust
UNIT-10841,LINE-A,866.66,205.78,52.78,33.5,1.25,42.75,17.97,2.07,hole
UNIT-13318,LINE-C,846.51,143.22,63.22,18.29,6.47,45.98,15.76,0.45,scratch
UNIT-13422,LINE-A,829.01,150.23,63.9,16.83,5.72,48.08,17.69,0.68,scratch
UNIT-11045,LINE-B,911.09,188.09,48.04,32.65,1.39,42.42,17.72,2.24,hole
UNIT-10034,LINE-C,907.31,170.39,47.33,31.72,1.64,46.06,29.65,1.74,crack
UNIT-10167,LINE-A,920.82,183.98,45.9,28.73,1.54,41.81,25.88,1.71,crack
UNIT-11475,LINE-A,851.02,145.99,49.02,31.88,1.66,41.78,17.09,0.58,normal
UNIT-10818,LINE-B,905.15,191.2,47.22,34.69,1.94,39.43,16.41,1.5,hole
UNIT-11092,LINE-A,897.68,187.31,47.19,28.92,1.68,44.6,18.85,2.06,hole
UNIT-11553,LINE-C,835.52,150.27,49.95,33.67,1.76,42.59,16.85,0.64,normal
UNIT-11601,LINE-A,856.92,149.75,55.25,31.93,1.65,46.38,16.56,0.53,normal
UNIT-12893,LINE-A,852.91,152.75,57.5,16.11,5.41,45.08,17.42,0.44,scratch
UNIT-12335,LINE-C,843.9,146.16,30.99,15.71,1.47,84.62,15.57,0.49,rust
UNIT-12612,LINE-B,842.48,152.18,33.38,8.92,1.12,65.97,16.23,0.45,rust
UNIT-13282,LINE-A,844.93,152.89,52.79,12.43,6.27,40.75,15.22,0.58,scratch
UNIT-11175,LINE-A,888.78,199.83,50.94,31.61,0.84,42.02,15.22,2.7,hole
UNIT-12149,LINE-C,841.21,150.77,37.79,12.61,1.45,76.07,18.32,0.55,rust
UNIT-13460,LINE-C,826.67,152.97,63.97,8.34,6.5,45.4,19.43,0.35,scratch
UNIT-12479,LINE-B,839.68,151.46,33.98,16.98,1.71,78.75,14.8,0.34,rust
UNIT-11622,LINE-C,813.31,156.42,47.43,30.98,1.55,45.63,17.96,0.63,normal
UNIT-11290,LINE-A,858.25,192.84,51.92,32.2,1.23,39.23,19.39,2.79,hole
UNIT-11205,LINE-C,887.99,191.64,46.69,29.31,1.74,46.68,15.68,2.41,hole
UNIT-11012,LINE-B,889.72,177.9,51.04,32.5,1.75,47.91,19.08,2.66,hole
UNIT-10195,LINE-C,925.19,170.19,51.58,32.18,0.88,43.7,29.52,2.03,crack
UNIT-11657,LINE-C,832.46,142.72,48.87,30.96,1.64,52.58,16.24,0.29,normal
UNIT-11396,LINE-B,892.55,189.57,51.71,33.32,1.64,47.24,16.08,2.23,hole
UNIT-10290,LINE-A,883.45,159.97,49.68,30.88,0.72,52.21,31.69,1.13,crack
UNIT-12805,LINE-B,850.35,143.24,65.09,17.38,6.19,37.02,18.76,0.35,scratch
UNIT-12969,LINE-A,858.05,155.39,62.73,10.57,5.66,45.81,17.65,0.41,scratch
UNIT-13441,LINE-B,841.95,147.29,58.04,14.13,3.97,47.6,15.41,0.51,scratch
UNIT-13108,LINE-B,838.07,139.12,61.48,18.33,5.4,51.12,13.91,0.56,scratch
UNIT-12464,LINE-A,843.45,147.86,31.54,20.26,1.63,83.35,16.33,0.56,rust
UNIT-12395,LINE-B,837.8,142.0,28.67,10.88,1.48,68.17,15.04,0.45,rust
UNIT-10433,LINE-B,904.32,178.79,46.94,32.84,1.59,36.98,26.62,1.38,crack
UNIT-13170,LINE-A,844.12,152.94,61.39,26.8,5.32,45.35,15.03,0.35,scratch
UNIT-13222,LINE-C,816.12,146.9,55.84,13.4,4.3,47.44,18.21,0.62,scratch
UNIT-13463,LINE-A,843.36,153.16,66.66,15.13,6.17,46.49,15.37,0.54,scratch
UNIT-13436,LINE-A,840.9,155.63,64.17,13.09,5.09,44.27,16.56,0.38,scratch
UNIT-11335,LINE-B,895.35,192.18,48.47,31.67,2.08,41.34,17.86,1.86,hole
UNIT-12771,LINE-A,839.66,146.93,29.47,11.33,1.59,64.84,17.77,0.68,rust
UNIT-12856,LINE-A,839.42,152.48,59.21,17.54,5.0,42.0,19.96,0.39,scratch
UNIT-12513,LINE-B,836.34,158.77,36.17,14.7,1.83,75.75,16.74,0.38,rust
UNIT-11323,LINE-B,888.12,204.8,51.05,31.59,2.03,45.02,16.06,1.59,hole
UNIT-10882,LINE-A,890.39,188.39,52.64,33.89,1.25,49.0,17.44,2.47,hole
UNIT-10280,LINE-B,894.57,183.21,52.28,28.91,2.08,46.3,29.0,1.57,crack
UNIT-11000,LINE-A,877.15,205.21,49.77,35.22,1.51,42.99,15.65,1.71,hole
UNIT-12861,LINE-A,843.35,157.95,68.2,13.07,4.63,50.91,16.94,0.43,scratch
UNIT-11966,LINE-A,834.14,153.3,54.12,33.51,1.99,47.9,18.25,0.45,normal
UNIT-13378,LINE-B,832.85,147.5,73.16,19.5,4.98,45.4,18.03,0.4,scratch
UNIT-11115,LINE-A,903.15,199.97,54.86,30.38,2.04,49.26,16.26,2.8,hole
UNIT-11781,LINE-A,850.93,140.22,47.48,32.31,1.48,44.86,16.88,0.25,normal
UNIT-11806,LINE-B,813.32,146.77,46.47,32.8,1.51,44.06,13.88,0.45,normal
UNIT-12448,LINE-A,850.7,154.35,38.32,18.45,1.45,69.9,16.49,0.65,rust
UNIT-11588,LINE-A,835.07,148.04,47.42,30.22,1.73,44.53,17.74,0.53,normal
UNIT-10908,LINE-B,895.07,181.41,49.03,31.99,1.49,39.9,15.39,2.53,hole
UNIT-13350,LINE-B,842.75,150.86,71.39,14.7,4.27,48.35,16.86,0.6,scratch
UNIT-10965,LINE-C,916.78,181.1,49.74,29.45,1.58,45.19,15.22,2.59,hole
UNIT-11766,LINE-A,846.84,152.24,48.51,32.08,1.28,43.99,21.4,0.78,normal
UNIT-11412,LINE-B,819.46,142.9,51.04,27.91,1.44,43.78,15.76,0.4,normal
UNIT-11814,LINE-A,825.72,148.86,52.53,33.49,1.4,37.65,17.76,0.7,normal
UNIT-10081,LINE-B,900.85,180.7,50.94,30.49,1.19,42.74,26.58,1.47,crack
UNIT-10743,LINE-C,877.3,174.3,53.77,28.87,1.71,44.95,17.07,1.74,hole
UNIT-10568,LINE-A,907.48,181.25,50.74,35.33,0.96,45.65,35.34,1.33,crack
UNIT-10094,LINE-B,928.65,170.63,54.08,29.71,1.69,40.98,32.73,2.04,crack
UNIT-10979,LINE-B,888.18,203.21,51.88,33.57,1.98,46.1,18.18,2.72,hole
UNIT-12755,LINE-B,839.13,143.56,30.9,12.28,2.02,88.32,15.29,0.34,rust
UNIT-11757,LINE-C,835.99,146.21,45.69,34.35,1.75,47.08,17.38,0.38,normal
UNIT-11721,LINE-B,839.14,152.16,53.51,34.5,1.65,40.23,15.85,0.22,normal
UNIT-12017,LINE-A,844.44,143.41,49.1,34.1,1.64,37.2,15.18,0.78,normal
UNIT-10806,LINE-A,893.36,193.84,55.7,30.53,1.32,40.21,18.83,1.73,hole
UNIT-13048,LINE-A,843.78,148.85,59.47,21.79,4.44,46.1,15.85,0.41,scratch
UNIT-11594,LINE-B,846.38,142.3,53.07,30.73,1.23,46.78,17.55,0.35,normal
UNIT-11296,LINE-A,861.33,187.49,50.57,29.41,1.53,44.88,18.05,3.0,hole
UNIT-13197,LINE-A,834.22,145.19,70.56,15.84,6.12,50.25,16.92,0.47,scratch
UNIT-11753,LINE-B,839.7,158.42,50.49,29.93,2.59,38.21,14.03,0.19,normal
UNIT-10299,LINE-B,906.12,170.71,49.9,32.1,1.88,44.74,34.38,1.85,crack
UNIT-10658,LINE-C,891.34,173.6,55.01,31.38,1.71,46.17,26.2,1.5,crack
UNIT-11599,LINE-C,835.78,155.57,50.35,32.39,1.55,41.11,18.69,0.4,normal
UNIT-12974,LINE-A,844.18,146.81,73.92,20.91,4.43,45.17,17.11,0.21,scratch
UNIT-11374,LINE-C,872.44,189.37,47.39,30.01,1.75,49.38,17.24,2.51,hole
UNIT-10799,LINE-B,889.22,187.76,46.07,32.52,1.66,48.61,17.78,2.61,hole
UNIT-11836,LINE-A,842.38,148.93,50.77,30.21,1.75,38.73,15.76,0.46,normal
UNIT-11062,LINE-B,879.85,197.1,52.24,32.29,1.81,43.97,17.27,2.26,hole
UNIT-10258,LINE-A,908.63,181.79,48.17,35.64,1.83,46.21,33.8,1.52,crack
UNIT-10300,LINE-A,877.42,165.25,47.96,29.87,2.24,49.33,28.76,1.54,crack
UNIT-12712,LINE-A,857.86,152.51,31.29,17.5,2.08,88.41,16.1,0.56,rust
UNIT-13224,LINE-A,836.71,145.41,70.63,20.62,5.43,40.18,16.21,0.41,scratch
UNIT-12260,LINE-C,843.35,157.53,33.55,16.9,1.79,70.33,18.14,0.32,rust
UNIT-10795,LINE-A,860.23,181.98,49.6,34.23,1.58,47.37,15.96,2.33,hole
UNIT-12283,LINE-B,851.46,155.04,33.8,19.26,1.39,80.88,17.07,0.39,rust
UNIT-10239,LINE-A,879.88,177.38,51.1,31.14,1.71,43.24,28.85,1.61,crack
UNIT-10296,LINE-A,901.96,176.37,48.55,29.65,1.54,52.27,28.01,1.51,crack
UNIT-13356,LINE-A,849.73,147.27,65.05,12.24,4.67,49.68,16.96,0.56,scratch
UNIT-10539,LINE-A,928.92,190.65,51.23,31.72,1.53,46.19,26.37,1.81,crack
UNIT-10416,LINE-C,922.01,176.6,54.37,34.08,1.38,38.66,30.05,2.02,crack
UNIT-10998,LINE-A,882.11,186.34,54.17,32.61,1.13,50.11,17.41,2.6,hole
UNIT-10175,LINE-B,893.6,174.73,52.43,35.2,1.38,42.33,33.36,2.08,crack
UNIT-10322,LINE-C,919.28,175.05,49.49,30.94,1.91,38.31,31.69,1.2,crack
UNIT-10444,LINE-A,925.66,169.25,46.26,30.16,2.0,43.32,34.15,1.49,crack
UNIT-13184,LINE-B,834.99,153.65,64.51,18.8,5.8,41.62,18.27,0.49,scratch
UNIT-12552,LINE-A,845.97,139.93,30.55,9.95,1.38,67.1,15.06,0.73,rust
UNIT-11911,LINE-C,834.63,145.93,48.78,30.97,1.64,41.67,13.97,0.68,normal
